index	sentence1	sentence2	label	combo	source NP
56	She is a substitute prime minister. She is a leader.	She is a prime leader.	0	pri-sub	a substitute prime minister
57	He is a vice national chief prosecutor. He is a figure.	He is a national figure.	2	pri-sub	a vice national chief prosecutor
58	He is a vice national chief prosecutor. He is a golfer.	He is a national golfer.	0	pri-sub	a vice national chief prosecutor
59	He is a young national idol. He is a man.	He is a young man.	2	sub-int	a young national idol
60	It is a fictional national championship. It is a story.	It is a fictional story.	2	pri-sub	a fictional national championship
61	This is a fictional national championship. This is title.	This is fictional title.	2	pri-sub	a fictional national championship
62	It is a fictional national championship. It is a story.	It is a national story.	0	pri-sub	a fictional national championship
63	This is an erroneous national intelligence estimate. This is a calculation.	This is an erroneous calculation.	2	pri-sub	an erroneous national intelligence estimate
64	This is an erroneous national intelligence estimate. This is a number.	This is an national number.	0	pri-sub	an erroneous national intelligence estimate
65	He is an honorary national chairman. He is a leader.	He is an honorary leader.	2	pri-sub	an honorary national chairman
66	He is an honorary national chairman. He is a leader.	He is a national leader.	2	pri-sub	an honorary national chairman
67	He is an honorary national chairman. He is a musician.	He is an honorary musician.	0	pri-sub	an honorary national chairman
68	He is an honorary national chairman. He is a musician.	He is a national musician.	0	pri-sub	an honorary national chairman
69	He is the honorary national chairman. He is father.	He is honorary father.	0	pri-sub	the honorary national chairman
70	He is the honorary national chairman. He is parent.	He is honorary parent.	0	pri-sub	the honorary national chairman
71	This is a substitute national holiday. This is a celebration.	This is a national celebration.	2	pri-sub	a substitute national holiday
72	These are spurious national security grounds. These are stations.	These are spurious stations.	2	pri-sub	spurious national security grounds
73	This is an allegedly fraudulent national election. This is a process.	This is a fraudulent process.	2	pri-sub	an allegedly fraudulent national election
74	He is a Swedish national coach. He is a father.	He is a Swedish father.	2	int-sub	a Swedish national coach
75	He is a Swedish national coach. He is a political leader.	He is a national political leader.	0	int-sub	a Swedish national coach
76	This is an artificial national boundary. This is a river.	This is an artificial river.	0	pri-sub	an artificial national boundary
77	This is a prior national interest. This is a concern.	This is a national concern.	0	pri-sub	a prior national interest
78	This is a sham national convention. This is a meeting.	This is a national meeting.	0	pri-sub	a sham national convention
79	She is a surrogate national voice. She is a mother.	She is a surrogate mother.	0	pri-sub	a surrogate national voice
80	This is a good short story. This is an essay.	This is a good essay.	2	sub-sub	a good short story
81	This is a good short story. This is an essay.	This is a short essay.	2	sub-sub	a good short story
82	He is a retired short seller. He is a person.	He is a retired person.	2	pri-sub	a retired short seller
83	He is a retired short seller. He is a driver.	He is a retired driver.	0	pri-sub	a retired short seller
84	He is a retired short seller. He is a person.	He is a short person.	0	pri-sub	a retired short seller
85	This is a theoretical short list. This is a catalogue.	This is a theoretical catalogue.	2	pri-sub	a theoretical short list
86	This is a theoretical short list. This is a collection.	This is a theoretical collection.	2	pri-sub	a theoretical short list
87	This is a theoretical short list. This is a catalogue.	This is a short catalogue.	0	pri-sub	a theoretical short list
88	This is a theoretical short list. This is a collection.	This is a short collection.	0	pri-sub	a theoretical short list
89	This is a presumed short circuit. This is a path.	This is a short path.	0	pri-sub	a presumed short circuit
90	This is so-called good junk-bond offerings. This is fraud.	This is so-called fraud.	0	pri-sub	so-called good junk-bond offerings
91	They are good senior bankers. They are mentors.	They are good mentors.	0	sub-sub	good senior bankers
92	She is an admired senior lecturer. She is a person.	She is an admired person.	2	sub-sub	an admired senior lecturer
93	She is an admired senior lecturer. She is a woman.	She is an admired woman.	2	sub-sub	an admired senior lecturer
94	She is an admired senior lecturer. She is a writer.	She is an admired writer.	0	sub-sub	an admired senior lecturer
95	She is an admired senior lecturer. She is a writer.	She is a senior writer.	0	sub-sub	an admired senior lecturer
96	She is a so-called senior expert. She is a manager.	She is a so-called manager.	0	pri-sub	a so-called senior expert
97	She is a so-called senior expert. She is a manager.	She is a senior manager.	0	pri-sub	a so-called senior expert
98	He is the former senior president. He is a writer.	He is a former writer.	0	pri-sub	the former senior president
99	He is the former senior president. He is a writer.	He is a senior writer.	0	pri-sub	the former senior president
