index	sentence1	sentence2	label	combo	source NP
60	This is the predicted annual economic growth.	This is the economic growth.	0	pri-sub	the predicted annual economic growth
61	This is the predicted annual economic growth.	This is the annual economic growth.	0	pri-sub	the predicted annual economic growth
62	This is their first annual review.	This is their review.	2	sub-sub	their first annual review
63	This is their first annual review.	This is their first review.	0	sub-sub	their first annual review
64	This is the fifth consecutive annual decline.	This is the fifth annual decline.	0	sub-int	the fifth consecutive annual decline
65	This is the fifth consecutive annual decline.	This is the fifth decline.	0	sub-int	the fifth consecutive annual decline
66	This is an assumed annual inflation rate.	This is an annual inflation rate.	0	pri-sub	an assumed annual inflation rate
67	This is a predicted average expenditure.	This is an average expenditure.	0	pri-sub	a predicted average expenditure
68	This is a theoretical average salary.	This is a salary.	2	pri-sub	a theoretical average salary
69	This is a theoretical average salary.	This is an average salary.	0	pri-sub	a theoretical average salary
70	This is their expected average lifespan.	This is their average lifespan.	0	pri-sub	their expected average lifespan
71	This is their expected average lifespan.	This is their lifespan.	0	pri-sub	their expected average lifespan
72	This is a hypothetical average consumption.	This is an average consumption.	0	pri-sub	a hypothetical average consumption
73	These are predicted poor next rains.	These are poor next rains.	0	pri-sub	predicted poor next rains
74	This is the predicted current average expenditure.	This is the current average expenditure.	0	pri-sub	the predicted current average expenditure
75	This is the predicted current average expenditure.	This is the average expenditure.	0	pri-sub	the predicted current average expenditure
76	This is an unofficial current status.	This is a status.	2	pri-sub	an unofficial current status
77	He is the average current user.	He is the average user.	0	sub-sub	the average current user
78	This is a fierce mock debate.	This is a mock debate.	2	sub-pri	a fierce mock debate
79	This is a scary mock execution.	This is a scary execution.	0	sub-pri	a scary mock execution
80	This is a scary mock execution.	This is an execution.	0	sub-pri	a scary mock execution
81	This is simulated drowning and mock executions.	This is drowning and mock executions.	0	pri-pri	simulated drowning and mock executions
82	This is simulated drowning and mock executions.	This is drowning and executions.	0	pri-pri	simulated drowning and mock executions
83	She is a French figurative painter.	She is a figurative painter.	2	int-pri	a French figurative painter
84	She is a French figurative painter.	She is a French painter.	2	int-pri	a French figurative painter
85	She is a French figurative painter.	She is a painter.	2	int-pri	a French figurative painter
86	Those are French historic monuments.	Those are French monuments.	2	int-pri	French historic monuments
87	This is a national historic treasure.	This is a historic treasure.	2	sub-pri	a national historic treasure
88	This is a national historic monument.	This is a historic monument.	2	sub-pri	a national historic monument
89	This is an imminent historic enlargement.	This is an imminent enlargement.	2	pri-pri	an imminent historic enlargement
90	This is a disputed historic area.	This is a historic area.	2	pri-pri	a disputed historic area
91	This is a disputed historic area.	This is an area.	2	pri-pri	a disputed historic area
92	Those are nominal historic peaks.	Those are historic peaks.	2	pri-pri	nominal historic peaks
93	This is the previous historic peak.	This is the historic peak.	0	pri-pri	the previous historic peak
94	This is the previous historic peak.	This is the peak.	0	pri-pri	the previous historic peak
95	He is a French retired diplomat.	He is a French diplomat.	0	int-pri	a French retired diplomat
96	He is a French retired diplomat.	He is a diplomat.	0	int-pri	a French retired diplomat
97	She is a Russian retired spy.	She is a Russian spy.	0	int-pri	a Russian retired spy
98	She is a Russian retired spy.	She is a spy.	0	int-pri	a Russian retired spy
99	This is a Russian retired spy.	This is a Russian spy.	0	int-pri	a Russian retired spy
100	This is small attractive hotels.	This is hotels.	2	sub-sub	small attractive hotels
101	This is a small quiet crowd.	This is a quiet crowd.	2	sub-sub	a small quiet crowd
102	This is a small quiet crowd.	This is a crowd.	2	sub-sub	a small quiet crowd
103	It is a small gray elephant.	It is a gray elephant.	2	sub-int	a small gray elephant
104	It is a small gray elephant.	It is an elephant.	2	sub-int	a small gray elephant
105	It is a small black pig.	It is a black pig.	2	sub-int	a small black pig
106	This is a small black book.	This is a black book.	2	sub-int	a small black book
107	This is a small black book.	This is a small book.	2	sub-int	a small black book
108	This is a small black skullcap.	This is a skullcap.	2	sub-int	a small black skullcap
109	He has small black eyes.	He has black eyes.	2	sub-int	small black eyes
110	It is a small black pig.	It is a small pig.	2	sub-int	a small black pig
111	He has small black eyes.	He has eyes.	2	sub-int	small black eyes
112	This is a big black plume.	This is a black plume.	2	sub-int	a big black plume
113	It is a big black ant.	It is a black ant.	2	sub-int	a big black ant
114	It is a big black ant.	It is an ant.	2	sub-int	a big black ant
115	This is a big black plume.	This is a big plume.	2	sub-int	a big black plume
116	There is heavy black smoke.	There is black smoke.	2	sub-int	heavy black smoke
117	There is heavy black smoke.	There is heavy smoke.	2	sub-int	heavy black smoke
118	He has a short black beard.	He has a black beard.	2	sub-int	a short black beard
119	This is an American black woman.	This is a black woman.	2	int-int	an American black woman
120	This is an American black woman.	This is an American woman.	2	int-int	an American black woman
121	They are the first black principal owners.	They are principal owners.	2	sub-int	the first black principal owners
122	He is New York 's first black mayor.	He is New York 's first mayor.	0	sub-int	New York 's first black mayor
123	They are the first black principal owners.	They are the first principal owners.	0	sub-int	the first black principal owners
124	Those are small American companies.	Those are companies.	2	sub-int	small American companies
