index	sentence1	sentence2	label	combo	source NP
60	This is the predicted annual economic growth.	This is the economic growth.	0	pri-sub	the predicted annual economic growth
61	This is the predicted annual economic growth.	This is the annual economic growth.	0	pri-sub	the predicted annual economic growth
62	This is their first annual review.	This is their review.	2	sub-sub	their first annual review
63	This is their first annual review.	This is their first review.	0	sub-sub	their first annual review
64	This is the fifth consecutive annual decline.	This is the fifth annual decline.	0	sub-int	the fifth consecutive annual decline
65	This is the fifth consecutive annual decline.	This is the fifth decline.	0	sub-int	the fifth consecutive annual decline
66	This is an assumed annual inflation rate.	This is an annual inflation rate.	0	pri-sub	an assumed annual inflation rate
67	This is a predicted average expenditure.	This is an average expenditure.	0	pri-sub	a predicted average expenditure
68	This is a theoretical average salary.	This is a salary.	2	pri-sub	a theoretical average salary
69	This is a theoretical average salary.	This is an average salary.	0	pri-sub	a theoretical average salary
70	This is their expected average lifespan.	This is their average lifespan.	0	pri-sub	their expected average lifespan
71	This is their expected average lifespan.	This is their lifespan.	0	pri-sub	their expected average lifespan
72	This is a hypothetical average consumption.	This is an average consumption.	0	pri-sub	a hypothetical average consumption
73	These are predicted poor next rains.	These are poor next rains.	0	pri-sub	predicted poor next rains
74	This is the predicted current average expenditure.	This is the current average expenditure.	0	pri-sub	the predicted current average expenditure
