id,combo,source NP,premise,hypothesis,label
78,sub-int,a famous local restaurant,This is a famous local restaurant. This is a business.,This is a local business.,entailment
80,sub-int,a skillful American violinsit,He is a skillful American violinsit. He is a father.,He is an American father.,entailment
81,sub-int,a skillful American violinsit,He is a skillful American violinsit. He is a musician.,He is a skillful musician.,entailment
82,sub-int,a skillful American violinsit,He is a skillful American violinsit. He is a musician.,He is an American musician.,entailment
85,sub-sub,boring old news,This is boring old news. This is information.,This is old information.,entailment
86,sub-sub,boring old news,This is boring old news. This is information.,This is boring information.,entailment
94,sub-sub,a top junior gymnast,She is a top junior gymnast. She is an athlete.,She is a junior athlete.,entailment
1,pri-pri,a proposed partial free-trade agreement,2,This is a proposed partial free-trade agreement. This is a contract.,This is a proposed contract.
3,pri-pri,a possible partial buyout,2,This is a possible partial buyout. This is a sale.,This is a possible sale.
6,pri-pri,an almost impossible military assignment,2,This is an almost impossible military assignment. This is a campaign.,This is an almost impossible campaign.
14,pri-pri,a deputy foreign vice minister,3,He is a deputy foreign vice minister. He is a foreign person.,He is a foreign person.
18,pri-pri,a wooden model airplane,2,This is a wooden model airplane. This is an exhibit.,This is a wooden exhibit.
20,pri-pri,alleged questionable expenditures,1,These are alleged questionable expenditures. These are purchases.,These are alleged purchases.
23,pri-pri,a gold plastic raspberry,2,This is a gold plastic raspberry. This is a fruit.,This is a plastic fruit.
24,pri-pri,a gold plastic raspberry,2,This is a gold plastic raspberry. This is a toy.,This is a plastic toy.
32,pri-pri,mock wooden barriers,1,These are mock wooden barriers. These are enclosures.,These are mock enclosures.
35,pri-pri,a false temporary passport,2,This is a false temporary passport. This is a document.,This is a false document.
36,pri-pri,a fake wooden sword,2,This is a fake wooden sword. This is a stick.,This is a wooden stick.
37,pri-pri,a fake wooden sword,2,This is a fake wooden sword. This is a toy.,This is a wooden toy.
39,pri-pri,a retired plastic surgeon,2,He is a retired plastic surgeon. He is a man.,He is a retired man.
41,pri-pri,an experimental artificial heart,2,This is an experimental artificial heart. This is an organ.,This is an artificial organ.
43,pri-pri,an unsuccessful proposed labor agreement,2,This is an unsuccessful proposed labor agreement. This is a law.,This is a proposed law.
46,pri-pri,a faulty artificial joint,2,This is a faulty artificial joint. This is a knee.,This is a faulty knee.
47,pri-pri,a faulty artificial joint,2,This is a faulty artificial joint. This is a knee.,This is an artificial knee.
55,pri-pri,an experimental temporary solution,2,This is an experimental temporary solution. This is a product.,This is an experimental product.
62,pri-pri,experimental temporary dwellings,1,These are experimental temporary dwellings. These are design.,These are experimental design.
66,pri-pri,a proposed six-month partial ban,3,This is a proposed six-month partial ban. This is aproposed regulation.,This is aproposed regulation.
72,pri-pri,failed initial public offerings,1,Those are failed initial public offerings. Those are fundraising.,Those are failed fundraising.
80,pri-pri,a fictional retired army officer,2,He is a fictional retired army officer. He is a character.,He is a fictional character.
87,pri-pri,countless failed past cease-fires,2,These are countless failed past cease-fires. These are negotiations.,These are past negotiations.
107,pri-pri,an unsuccessful previous launch,2,This is an unsuccessful previous launch. This is an experiment.,This is a previous experiment.
108,pri-pri,an unsuccessful previous launch,2,This is an unsuccessful previous launch. This is an explosion.,This is a previous explosion.
112,pri-pri,a disputed historic area,2,This is a disputed historic area. This is a castle.,This is a disputed castle.
113,pri-pri,a disputed historic area,2,This is a disputed historic area. This is a castle.,This is a historic castle.
117,pri-pri,incorrect initial decisions,1,Those are incorrect initial decisions. Those are conclusions.,Those are initial conclusions.
118,pri-pri,incorrect initial decisions,1,Those are incorrect initial decisions. Those are mistakes.,Those are initial mistakes.
120,pri-pri,previous honorary degree,1,This is previous honorary degree. This is a diploma.,This is an honorary diploma.
142,pri-pri,a fake honorary degree,2,This is a fake honorary degree. This is a certificate.,This is a fake certificate.
143,pri-pri,an initial virtual colonoscopy,2,This is an initial virtual colonoscopy. This is a inititial inspection.,This is an inititial inspection.
144,pri-pri,an initial virtual colonoscopy,2,This is an initial virtual colonoscopy. This is an inspection.,This is a virtual inspection.
148,pri-pri,a deputy senior vice president,3,He is a deputy senior vice president. He is senior leader.,He is senior leader.
149,pri-pri,an experimental temporary dwellings,2,This is an experimental temporary dwellings. This is a housing.,This is a temporary housing.
152,pri-pri,a probable next CEO,2,They are a probable next CEO. They are hire.,They are probable hire.
158,pri-pri,a fake virtual friend,2,They are a fake virtual friend. They are a companion.,They are a virtual companion.
173,pri-pri,a fake wooden rifle,2,This is a fake wooden rifle. This is a firearm.,This is a fake firearm.
177,pri-pri,a 19th-century wooden toy train,3,This is a 19th-century wooden toy train. This is a 19th-century appliance.,This is a 19th-century appliance.
179,pri-pri,the would-be Catholic deputy leader,3,He is a would-be Catholic deputy leader. He is a man.,He is a Catholic man.
180,pri-pri,fake wooden rifles,1,Those are fake wooden rifles. Those are crafts.,Those are wooden crafts.
181,pri-pri,fake wooden rifles,1,Those are fake wooden rifles. Those are toys.,Those are wooden toys.
183,pri-pri,fake wooden rifles,1,Those are fake wooden rifles. Those are guns.,Those are fake guns.
184,pri-pri,fake wooden rifles,1,Those are fake wooden rifles. Those are weapons.,Those are fake weapons.
193,pri-pri,a would-be Catholic deputy leader,3,He is a would-be Catholic deputy leader. He is a Catholic father.,He is a Catholic father.
194,pri-pri,a would-be Catholic deputy leader,3,He is a would-be Catholic deputy leader. He is a Catholic politician.,He is a Catholic politician.
199,pri-pri,simulated drowning executions,1,This is simulated drowning executions. This is experiments.,This is simulated experiments.
201,pri-pri,a possible later pregnancy,2,This is a possible later pregnancy. This is a medical condition.,This is a possible medical condition.
208,pri-pri,improbable future catastrophes,1,These are improbable future catastrophes. These are events.,These are improbable events.
209,pri-pri,improbable future catastrophes,1,These are improbable future catastrophes. These are incidents.,These are improbable incidents.
210,pri-pri,improbable future catastrophes,1,These are improbable future catastrophes. These are disasters.,These are improbable disasters.
212,pri-pri,an unlikely initial success,2,This is an unlikely initial success. This is an occurrence.,This is an unlikely occurrence.
213,pri-pri,an unlikely initial success,2,This is an unlikely initial success. This is an occurrence.,This is an initial occurrence.
214,pri-pri,an unlikely initial success,2,This is an unlikely initial success. This is an outcome.,This is an unlikely outcome.
221,pri-pri,a new artificial rubber turf,3,This is a new artificial rubber turf. This is a surface.,This is an artificial surface.
222,pri-pri,a new artificial rubber turf,3,This is a new artificial rubber turf. This is a surface.,This is a rubber surface.
231,pri-pri,a new artificial rubber turf,3,This is a new artificial rubber turf. This is a new product.,This is a new product.
236,pri-pri,a fictional past relationship,2,This is a fictional past relationship. This is an interaction.,This is a fictional interaction.
240,pri-pri,a deputy foreign vice minister,3,She is a deputy foreign vice minister. She is a foreign mother.,She is a foreign mother.
244,pri-pri,a historic temporary constitution,2,This is a historic temporary constitution. This is a document.,This is a historic document.
254,pri-pri,a false temporary Ukrainian passport,2,This is a false temporary Ukrainian passport. This is a document.,This is a false document.
259,pri-pri,an experimental artificial heart,2,This is an experimental artificial heart. This is an organ.,This is an experimental organ.
260,pri-pri,an experimental artificial heart,2,This is an experimental artificial heart. This is an organ.,This is an artificial organ.
266,pri-pri,faulty artificial joints,1,These are faulty artificial joints. These are medical devices.,These are faulty medical devices.
267,pri-pri,faulty artificial joints,1,These are faulty artificial joints. These are medical devices.,These are artificial medical devices.
273,pri-pri,an imaginary fraudulent company,2,This is an imaginary fraudulent company. This is a corporate.,This is an imaginary corporate.
279,pri-pri,an unsuccessful artificial insemination,2,This is an unsuccessful artificial insemination. This is a procedure.,This is an unsuccessful procedure.
284,pri-pri,continuous forged allegations,1,These are continuous forged allegations. These are assertions.,These are forged assertions.
302,pri-pri,a onetime alleged dirty-bomb plotter,2,He is a onetime alleged dirty-bomb plotter. He is a terrorist.,He is an alleged terrorist.
310,pri-pri,an apparent false alarm,2,This is an apparent false alarm. This is an emergency.,This is a false emergency.
312,pri-pri,a retired black deputy sherriff,3,He is a retired black deputy sherriff. He is a black father.,He is a black father.
315,pri-pri,a possible imminent eruption,2,That is a possible imminent eruption. That is a catastrophe.,That is a possible catastrophe.
320,pri-pri,a hypothetical future disaster,2,This is a hypothetical future disaster. This is an earthquake.,This is a hypothetical earthquake.
321,pri-pri,a hypothetical future disaster,2,This is a hypothetical future disaster. This is a flood.,This is a hypothetical flood.
322,pri-pri,wooden toy rifles,1,These are wooden toy rifles. These are guns.,These are wooden guns.
331,pri-pri,mock wooden machineguns,1,Those are mock wooden machineguns. Those are weapons.,Those are wooden weapons.
342,pri-pri,red plastic flowers,1,Those are red plastic flowers. Those are plants.,Those are plastic plants.
343,pri-pri,red plastic flowers,1,Those are red plastic flowers. Those are decorations.,Those are red decorations.
347,pri-pri,fabricated false news,1,This is fabricated false news. This is tweets.,This is fabricated tweets.
352,pri-pri,the previous erroneous information,2,This is the previous erroneous information. This is the news.,This is the erroneous news.
357,pri-int,a retired Indian pilot,2,She is a retired Indian pilot. She is a mother.,She is an Indian mother.
358,pri-int,a retired Indian pilot,2,She is a retired Indian pilot. She is a woman.,She is a retired woman.
359,pri-int,a retired Indian pilot,2,She is a retired Indian pilot. She is a woman.,She is an Indian woman.
362,pri-int,a retired electrical designer,2,He is a retired electrical designer. He is a person.,He is a retired person.
365,pri-int,a retired Soviet spy,2,He is a retired Soviet spy. He is a traitor.,He is a Soviet traitor.
366,pri-int,a retired Soviet spy,2,He is a retired Soviet spy. He is a doctor.,He is a Soviet doctor.
368,pri-int,sham Chinese oysters,1,Those are sham Chinese oysters. Those are seafood.,Those are sham seafood.
369,pri-int,a sham electoral process,2,This is a sham electoral process. This is a fraud.,This is an electoral fraud.
370,pri-int,a sham Russian firm,2,This is a sham Russian firm. This is a company.,This is a sham company.
372,pri-int,sham financial transactions,1,Those are sham financial transactions. Those are exchanges.,Those are sham exchanges.
376,pri-int,a theoretical Soviet onslaught,2,This is a theoretical Soviet onslaught. This is a possibility.,This is a theoretical possibility.
377,pri-int,a theoretical economic disaster,2,This is a theoretical economic disaster. This is a hypothesis.,This is a theoretical hypothesis.
379,pri-int,a fraudulent electoral victory,2,This is a fraudulent electoral victory. This is cheating.,This is electoral cheating.
380,pri-int,a fraudulent electoral victory,2,This is a fraudulent electoral victory. This is a misdeed.,This is an electoral misdeed.
382,pri-int,a fraudulent medical excuse,2,This is a fraudulent medical excuse. This is an explanation.,This is a fraudulent explanation.
383,pri-int,a fraudulent medial mask,2,This is a fraudulent medial mask. This is a product.,This is a fraudulent product.
384,pri-int,an artificial white rose,2,This is an artificial white rose. This is a flower.,This is an artificial flower.
385,pri-int,artificial white fur,1,This is artificial white fur. This is a scarf.,This is an artificial scarf.
386,pri-int,artificial white fur,1,This is artificial white fur. This is a scarf.,This is a white scarf.
387,pri-int,artificial tropical flowers,1,Those are artificial tropical flowers. Those are decorations.,Those are artificial decorations.
388,pri-int,artificial tropical flowers,1,Those are artificial tropical flowers. Those are decorations.,Those are tropical decorations.
389,pri-int,artificial tropical flowers,1,Those are artificial tropical flowers. Those are jasmines.,Those are artificial jasmines.
390,pri-int,an artificial electric heart,2,This is an artificial electric heart. This is an organ.,This is an artificial organ.
391,pri-int,an artificial electric heart,2,This is an artificial electric heart. This is an organ.,This is an electric organ.
392,pri-int,an artificial electric heart,2,This is an artificial electric heart. This is a device.,This is an artificial device.
393,pri-int,an artificial electric heart,2,This is an artificial electric heart. This is a device.,This is an electric device.
395,pri-int,would-be foreign students,1,They are would-be foreign students. They are immigrants.,They are foreign immigrants.
397,pri-int,two would-be female suicide bombers,2,They are two would-be female suicide bombers. They are terrorists.,They are female terrorists.
400,pri-int,would-be female entrepreneurs,1,They are would-be female entrepreneurs. They are students.,They are female students.
405,pri-int,counterfeit foreign currency,1,This is counterfeit foreign currency. This is banknotes.,This is counterfeit banknotes.
407,pri-int,counterfeit foreign cigarettes,1,Those are counterfeit foreign cigarettes. Those are products.,Those are counterfeit products.
410,pri-int,a counterfeit Italian banknote,2,This is a counterfeit Italian banknote. This is currency.,This is counterfeit currency.
415,pri-int,counterfeit medical drugs,1,Those are counterfeit medical drugs. Those are pills.,Those are counterfeit pills.
418,pri-int,a counterfeit Indian movie,2,This is a counterfeit Indian movie. This is a video.,This is a counterfeit video.
420,pri-int,a counterfeit Japanese passport,2,This is a counterfeit Japanese passport. This is a document.,This is a counterfeit document.
421,pri-int,a counterfeit green card,2,This is a counterfeit green card. This is a ID.,This is a counterfeit ID.
429,pri-int,a mock Japanese accent,2,This is a mock Japanese accent. This is a pronunciation.,This is a mock pronunciation.
431,pri-int,her presumed electoral victory,2,This is her presumed electoral victory. This is a possibility.,This is a presumed possibility.
439,pri-int,a presumed horrible defeat,2,This is a presumed horrible defeat. This is the outcome.,This is the presumed outcome.
440,pri-int,a presumed horrible defeat,2,This is a presumed horrible defeat. This is the outcome.,This is the horrible outcome.
441,pri-int,seven gold Chinese dancing lions,2,Those are seven gold Chinese dancing lions. Those are seven performers.,Those are seven performers.
442,pri-int,a gold Brazilian soccer jersey,2,This is a gold Brazilian soccer jersey. This is a top.,This is a gold top.
444,pri-int,a gold American eagle,2,This is a gold American eagle. This is a statue.,This is a gold statue.
447,pri-int,debatable economic issues,1,Those are debatable economic issues. Those are concerns.,Those are economic concerns.
448,pri-int,a toy white polar bear,2,This is a toy white polar bear. This is a plush toy.,This is a white plush toy.
449,pri-int,a toy wooden block,2,This is a toy wooden block. This is a cube.,This is a toy cube.
450,pri-int,a toy wooden block,2,This is a toy wooden block. This is a cube.,This is a wooden cube.
451,pri-int,a toy electric car,2,This is a toy electric car. This is a Tesla.,This is an electric Tesla.
452,pri-int,a toy electric car,2,This is a toy electric car. This is a Tesla.,This is a toy Tesla.
455,pri-int,brass Mexican music,2,This is brass Mexican music. This is a genre.,This is a Mexican genre.
456,pri-int,a brass decorative dragon,2,This is a brass decorative dragon. This is a sculpture.,This is a brass sculpture.
457,pri-int,a brass decorative dragon,2,This is a brass decorative dragon. This is a sculpture.,This is a decorative sculpture.
458,pri-int,a stone African rhino,2,This is a stone African rhino. This is a mammal.,This is a stone mammal.
463,pri-sub,a plausible big idea,2,This is a plausible big idea. This is a thought.,This is a plausible thought.
468,pri-sub,a partial new cabinet,2,This is a partial new cabinet. This is an administration.,This is a new administration.
472,pri-sub,the disputed tiny colony,2,This is the disputed tiny colony. This is the territory.,This is the disputed territory.
473,pri-sub,a previous fast diagnosis,2,This is a previous fast diagnosis. This is a mistake.,This is a previous mistake.
474,pri-sub,a previous fast diagnosis,2,This is a previous fast diagnosis. This is a conclusion.,This is a previous conclusion.
477,pri-sub,a fictitious young blogger,2,He is a fictitious young blogger. He is a fictitous creator.,He is a fictitous creator.
479,pri-sub,artificial cool air,1,This is artificial cool air. This is gas.,This is cool gas.
481,pri-sub,a hypothetical regional conflict,2,This is a hypothetical regional conflict. This is a struggle.,This is a hypothetical struggle.
485,pri-sub,an initial domestic agenda,2,This is an initial domestic agenda. This is a plan.,This is a domestic plan.
501,pri-sub,a presumed negative effect,2,This is a presumed negative effect. This is an influence.,This is a presumed influence.
503,pri-sub,virtual domestic Olympics,1,These are virtual domestic Olympics. These are competition.,These are virtual competition.
504,pri-sub,virtual domestic Olympics,1,These are virtual domestic Olympics. These are competition.,These are domestic competition.
509,pri-sub,a plausible recent report,2,This is a plausible recent report. This is a news article.,This is a plausible news article.
513,pri-sub,a virtual independent bookstore,2,This is a virtual independent bookstore. This is a shop.,This is a virtual shop.
518,pri-sub,his previous significant work,2,This is his previous significant work. This is accomplishments.,This is previous accomplishments.
519,pri-sub,his previous significant work,2,This is his previous significant work. This is accomplishments.,This is significant accomplishments.
521,pri-sub,a fictional national championship,2,It is a fictional national championship. It is a story.,It is a fictional story.
523,pri-sub,a phony moral authority,2,They have a phony moral authority. They have a committee.,They have a phony committee.
527,pri-sub,a probable high position,2,This is a probable high position. This is an opportunity.,This is a probable opportunity.
530,pri-sub,a predicted hot condition,2,This is a predicted hot condition. This is a circumstance.,This is a predicted circumstance.
531,pri-sub,a predicted hot condition,2,This is a predicted hot condition. This is a situation.,This is a predicted situation.
534,pri-sub,an unlikely new weapon,2,This is an unlikely new weapon. This is an invention.,This is an unlikely invention.
538,pri-sub,a prior grand jury,2,This is a prior grand jury. This is an organization.,This is a prior organization.
539,pri-sub,a prior grand jury,2,This is a prior grand jury. This is a group.,This is a prior group.
542,pri-sub,a retired northern general,2,He is a retired northern general. He is a man.,He is a northern man.
543,pri-sub,a retired northern general,2,He is a retired northern general. He is a person.,He is a northern person.
546,pri-sub,an apparent domestic dispute,2,This is an apparent domestic dispute. This is an argument.,This is an apparent argument.
547,pri-sub,an apparent domestic dispute,2,This is an apparent domestic dispute. This is a conflict.,This is an apparent conflict.
550,pri-sub,the probable maximum loss,2,It is the probable maximum loss. It is the deficit.,It is the probable deficit.
553,pri-sub,Ukrainian first vice prime minister,3,This is Ukrainian first vice prime minister. This is Ukranian politician.,This is Ukranian politician.
554,pri-sub,Ukrainian first vice prime minister,3,This is Ukrainian first vice prime minister. This is Ukranian musician.,This is Ukranian musician.
567,pri-sub,past official targets,1,They are past official targets. They are goals.,They are past goals.
581,pri-sub,a counterfeit new U.S. dollar,2,This is a counterfeit new U.S. dollar. This is a money.,This is a counterfeit money.
583,pri-sub,the predicted global economic turbulence,2,This is the predicted global economic turbulence. This is disorder.,This is predicted disorder.
610,pri-sub,counterfeit modern bills,1,Those are counterfeit modern bills. Those are assets.,Those are counterfeit assets.
612,pri-sub,an improbable presidential candidacy,2,He has an improbable presidential candidacy. He has a nomination.,He has an improbable nomination.
613,pri-sub,an apparent third straight defeat,2,This is an apparent third straight defeat. This is a result.,This is an apparent result.
616,pri-sub,a forged medical professional license,3,This is a forged medical professional license. This is a certificate.,This is a forged certificate.
636,pri-sub,a virtual strategic alliance,2,This is a virtual strategic alliance. This is an association.,This is a strategic association.
641,pri-sub,a probable easy fix,2,This is a probable easy fix. This is a solution.,This is a probable solution.
645,pri-sub,a prior basic principle,2,This is a prior basic principle. This is a rule.,This is a basic rule.
647,pri-sub,an assumed annual inflation rate,2,This is an assumed annual inflation rate. This is a statistic.,This is an assumed statistic.
649,pri-sub,an assumed annual inflation rate,2,This is an assumed annual inflation rate. This is a number.,This is an assumed number.
653,pri-sub,predicted fast economic growth,1,This is predicted fast economic growth. This is an economic success.,This is an economic success.
656,pri-sub,an artificial left leg,2,This is an artificial left leg. This is a device.,This is an artificial device.
657,pri-sub,an artificial left leg,2,This is an artificial left leg. This is an autonomous robot.,This is an artificial autonomous robot.
659,pri-sub,a virtual official competition,2,This is a virtual official competition. This is a concert.,This is a virtual concert.
660,pri-sub,a virtual official competition,2,This is a virtual official competition. This is a show.,This is a virtual show.
662,pri-sub,a retired prominent basketball player,2,This is a retired prominent basketball player. This is a father.,This is a retired father.
678,pri-sub,an imminent massive earthquake,2,This is an imminent massive earthquake. This is a disaster.,This is an imminent disaster.
690,pri-sub,past southern areas,1,Those are past southern areas. Those are .,Those are .
693,pri-sub,mock parliamentary debates,1,These are mock parliamentary debates. These are events.,These are mock events.
700,pri-sub,an impossible moral choice,2,This is an impossible moral choice. This is a dilemma.,This is a moral dilemma.
704,pri-sub,his disputed eighth championship,2,This is his disputed eighth championship. This is his medal.,This is his disputed medal.
724,pri-sub,a forged diplomatic passport,2,He has a forged diplomatic passport. He has a ID.,He has a forged ID.
734,pri-sub,an erroneous national intelligence estimate,2,This is an erroneous national intelligence estimate. This is a calculation.,This is an erroneous calculation.
744,pri-sub,a substitute presidential plane,2,This is a substitute presidential plane. This is a vehichle.,This is a substitute vehichle.
745,pri-sub,a substitute presidential plane,2,This is a substitute presidential plane. This is a vehichle.,This is a presidential vehichle.
748,pri-sub,an honorary national chairman,2,He is an honorary national chairman. He is a leader.,He is an honorary leader.
749,pri-sub,an honorary national chairman,2,He is an honorary national chairman. He is a leader.,He is a national leader.
751,pri-sub,a forged Iranian diplomatic passport,3,This is a forged Iranian diplomatic passport. This is a document.,This is a forged document.
754,pri-sub,a substitute national holiday,2,This is a substitute national holiday. This is a celebration.,This is a national celebration.
758,pri-sub,a predicted average expenditure,2,This is a predicted average expenditure. This is a number.,This is a predicted number.
760,pri-sub,a vice national chief prosecutor,2,He is a vice national chief prosecutor. He is a figure.,He is a national figure.
771,pri-sub,a plausible diplomatic settlement,2,This is a plausible diplomatic settlement. This is a solution.,This is a diplomatic solution.
