index	sentence1	sentence2	label	combo	source NP
32	A residence requires little maintenance.	A historic former residence requires little maintenance.	0	pri-pri	a historic former residence
33	A capital has a lot of tall buildings.	A historic former capital has a lot of tall buildings.	0	pri-pri	a historic former capital
34	A ruthless criminal has murdered many people.	An alleged ruthless criminal has murdered many people.	0	pri-sub	an alleged ruthless criminal
35	A coup has an organizer.	A recent unsuccessful coup has an organizer.	1	sub-pri	a recent unsuccessful coup
36	A coup has overturned the government.	A recent unsuccessful coup has overturned the government.	0	sub-pri	a recent unsuccessful coup
37	A candidate decided to leave politics.	A past unsuccessful candidate decided to leave politics.	2	pri-pri	a past unsuccessful candidate
38	A candidate is 40 years old.	A past unsuccessful candidate is 40 years old.	1	pri-pri	a past unsuccessful candidate
39	A candidate can win an election.	A past unsuccessful candidate can win an election.	0	pri-pri	a past unsuccessful candidate
40	Marriages got him into several lawsuits.	Numerous unsuccessful marriages got him into several lawsuits.	2	sub-pri	numerous unsuccessful marriages
41	His marriages make his current girlfriend skeptical.	His numerous unsuccessful marriages make his current girlfriend skeptical.	2	sub-pri	his numerous unsuccessful marriages
42	Marriages left him many cherishable memories.	Numerous unsuccessful marriages left him many cherishable memories.	0	sub-pri	numerous unsuccessful marriages
43	His marriages prove his loyalty.	His numerous unsuccessful marriages prove his loyalty.	0	sub-pri	his numerous unsuccessful marriages
44	The company is bankrupt because of income.	The company is bankrupt because of negative net income.	2	sub-int	negative net income
45	It is predicted that they will have significant income next year.	It is predicted that they will have significant negative net income next year.	1	sub-int	negative net income
46	People are happy about income.	People are happy about negative net income.	0	sub-int	negative net income
47	A snake has no legs.	A vegetarian black snake has no legs.	1	int-int	a vegetarian black snake
48	A snake can eat a person.	A vegetarian black snake can eat a person.	0	int-int	a vegetarian black snake
49	An inflation rate forms part of the economic projection for next year.	An assumed annual inflation rate forms part of the economic projection for next year.	2	pri-sub	an assumed annual inflation rate
50	An inflation rate affects people's livelihood.	An assumed annual inflation rate affects people's livelihood.	0	pri-sub	an assumed annual inflation rate
51	The economic growth has not been verified by the government.	The predicted annual economic growth has not been verified by the government.	2	pri-sub	the predicted annual economic growth
52	The economic growth is based on leading indicators.	The predicted annual economic growth is based on leading indicators.	2	pri-sub	the predicted annual economic growth
53	The economic growth is forecasted not measured.	The predicted annual economic growth is forecasted not measured.	2	pri-sub	the predicted annual economic growth
54	The economic growth is denominated in US dollars.	The predicted annual economic growth is denominated in US dollars.	1	pri-sub	the predicted annual economic growth
55	The economic growth is flat.	The predicted annual economic growth is flat.	1	pri-sub	the predicted annual economic growth
56	The economic growth is discussed by economists on Bloomberg TV.	The predicted annual economic growth is discussed by economists on Bloomberg TV.	1	pri-sub	the predicted annual economic growth
57	The economic growth is a good indicator for job growth.	The predicted annual economic growth is a good indicator for job growth.	0	pri-sub	the predicted annual economic growth
58	The reports earn them a bad reputation.	The erroneous annual reports earn them a bad reputation.	2	pri-sub	the erroneous annual reports
59	The reports contain figures on their revenue, sales and profit.	The erroneous annual reports contain figures on their revenue, sales and profit.	1	pri-sub	the erroneous annual reports
60	The reports pass the financial audit.	The erroneous annual reports pass the financial audit.	0	pri-sub	the erroneous annual reports
61	A weight is assigned to a variable.	An assumed average weight is assigned to a variable.	1	pri-sub	an assumed average weight
62	A weight is precisely measured.	An assumed average weight is precisely measured.	0	pri-sub	an assumed average weight
63	A salary is estimated.	A theoretical average salary is estimated.	2	pri-sub	a theoretical average salary
64	An expenditure is calculated after the project.	A predicted average expenditure is calculated after the project.	0	pri-sub	a predicted average expenditure
65	A name is written on the official document.	An assumed second name is written on the official document.	0	pri-sub	an assumed second name
66	His wife refuses his proposal.	His potential second wife refuses his proposal.	2	pri-sub	his potential second wife
67	His wife is beautiful.	His potential second wife is beautiful.	1	pri-sub	his potential second wife
68	His wife is the first woman he has dated.	His potential second wife is the first woman he has dated.	0	pri-sub	his potential second wife
69	A quarter has three months.	A flat second quarter has three months.	1	int-sub	a flat second quarter
70	The company makes plenty of money in a quarter.	The company makes plenty of money in a flat second quarter.	0	int-sub	a flat second quarter
71	The trader carelessly made a sell order.	The trader carelessly made an apparent mistaken sell order.	2	pri-pri	an apparent mistaken sell order
72	A sell order was not properly checked over.	An apparent mistaken sell order was not properly checked over.	2	pri-pri	an apparent mistaken sell order
73	He was praised for a sell order.	He was praised for an apparent mistaken sell order.	0	pri-pri	an apparent mistaken sell order
74	A sell order was done on purpose.	An apparent mistaken sell order was done on purpose.	0	pri-pri	an apparent mistaken sell order
75	A diagnosis causes unecessary trauma.	An original mistaken diagnosis causes unecessary trauma.	2	int-pri	an original mistaken diagnosis
76	The reports are helpful in making a decision.	The original mistaken reports are helpful in making a decision.	0	int-pri	the original mistaken reports
77	A diagnosis accurately addresses the symptoms.	An original mistaken diagnosis accurately addresses the symptoms.	0	int-pri	an original mistaken diagnosis
78	Witnesses are leading causes of wrongful convictions.	Many mistaken witnesses are leading causes of wrongful convictions.	2	sub-pri	many mistaken witnesses
79	Impressions led to a miscommunication.	Many mistaken impressions led to a miscommunication.	2	sub-pri	many mistaken impressions
80	Witnesses have kids.	Many mistaken witnesses have kids.	1	sub-pri	many mistaken witnesses
81	Impressions are left by well-informed people.	Many mistaken impressions are left by well-informed people.	0	sub-pri	many mistaken impressions
82	Interpretations need to be corrected.	Numerous mistaken interpretations need to be corrected.	2	sub-pri	numerous mistaken interpretations
83	Interpretations are confirmed by peer review.	Numerous mistaken interpretations are confirmed by peer review.	0	sub-pri	numerous mistaken interpretations
84	A statement receives backlash on the internet.	An apparent false statement receives backlash on the internet.	2	pri-pri	an apparent false statement
85	An alarm The student confessed there was no fire.	An apparent false alarm The student confessed there was no fire.	2	pri-pri	an apparent false alarm
86	A statement is receiving praise.	An apparent false statement is receiving praise.	0	pri-pri	an apparent false statement
87	Heart attacks that are an alarm can be life threatening.	Heart attacks that are an apparent false alarm can be life threatening.	0	pri-pri	an apparent false alarm
88	Alarms were a test.	Previous false alarms were a test.	2	pri-pri	previous false alarms
89	Alarms rang in the morning.	Previous false alarms rang in the morning.	1	pri-pri	previous false alarms
90	Alarms were because of an emergency.	Previous false alarms were because of an emergency.	0	pri-pri	previous false alarms
91	Testimony was thrown out by the judge.	Prior false testimony was thrown out by the judge.	2	pri-pri	prior false testimony
92	Testimony was considered by the jury.	Prior false testimony was considered by the jury.	0	pri-pri	prior false testimony
93	Alarms prevent injuries.	Prior false alarms prevent injuries.	0	pri-pri	prior false alarms
94	His pledge is caused by not fully understanding the scenario.	His initial false pledge is caused by not fully understanding the scenario.	2	pri-pri	his initial false pledge
95	The declarations are the source of American distrust.	The initial false declarations are the source of American distrust.	2	pri-pri	the initial false declarations
96	The declarations are coming from another country.	The initial false declarations are coming from another country.	1	pri-pri	the initial false declarations
97	The declarations are praised by diplomats all over the world.	The initial false declarations are praised by diplomats all over the world.	0	pri-pri	the initial false declarations
98	An alarm raises little concern.	A future false alarm raises little concern.	2	pri-pri	a future false alarm
99	An alarm lowers public confidence in the nuclear warning system.	A next false alarm lowers public confidence in the nuclear warning system.	2	pri-pri	a next false alarm
